_CATEGORY_;_NAME_;_DESCRIPTION_;_IMAGE_;_IMAGES_;_ATTRIBUTES_;_DOWNLOADS_;_SKU_;_URL_
Verdermix | Direct Dynamic Mixers;VNF;The VNF-type can be considered as entry model. It is an economical mixer with standard motor dimensions (IEC), deliverable according to local motor legislation.;https://www.verderliquids.com/fileadmin/_processed_/1/0/csm_DYN_MENGER_VNF_1__c18fe35f69.png;https://www.verderliquids.com/fileadmin/_processed_/1/0/csm_DYN_MENGER_VNF_1__c18fe35f69.png;"Properties | Options | Bearing lantern, sealing lantern with a mechanical seal lip seal or stuffing box, chemical resistant coating.
Properties | Additional | Fixed or portable stands can be constructed to meet customer specifi cations and requirements.
Properties | Shaft speeds | Between 750 and 3000 rpm
Properties | Shaft length | Up to 1700 mm
Properties | Mixing elements | PS (foldable) - L - PSL - Z - RB";Verdermix Brochure | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/Verdermix/013-VM-17_Overview_brochure_MIX1_LR_HR.pdf;vnf;https://www.verderliquids.com/int/en/purchasing-static-and-dynamic-mixers-verdermix/direct-dynamic-mixers/vnf
Verdermix | Direct Dynamic Mixers;VSM;"This type of agitator uses a special electric motor with a hollow motor shaft. The robust mixer shaft is fi xed with both a conical and a cylindrical fi t. Due to the hollow shaft construction the bearings are over dimensioned. A robust and stable design; a perfect construction for heavy duty applications.";https://www.verderliquids.com/fileadmin/_processed_/1/0/csm_DYN_MENGER_VNF_1__c18fe35f69.png;https://www.verderliquids.com/fileadmin/_processed_/1/0/csm_DYN_MENGER_VNF_1__c18fe35f69.png;"Properties | Options | Sealing lantern with a mechanical seal, lip seal or stuffi ng box, chemical resistant coating.
Properties | Additional | Fixed or portable stands can be constructed to meet customers specifi cations and requirements.
Properties | Shaft speeds | Between 750 and 1800 rpm
Properties | Shaft length | Up to 2500 mm
Properties | Mixing elements | PS (foldable) - L - PSL - Z - RB";Verdermix Brochure | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/Verdermix/013-VM-17_Overview_brochure_MIX1_LR_HR.pdf;vsm;https://www.verderliquids.com/int/en/purchasing-static-and-dynamic-mixers-verdermix/direct-dynamic-mixers/vsm
ITC | DOSmart;DOSmart AC;Dosmart AC is characterized by high precision, extensive regulation (1:3000) and high suction capacity even with viscous products. It allows the dosing of any commonly used chemical in the water treatment, chemical, food and agriculture industries.;https://www.verderliquids.com/fileadmin/_processed_/0/2/csm_DOSmart_AC_Capcal_d75c605642.png;https://www.verderliquids.com/fileadmin/_processed_/0/2/csm_DOSmart_AC_Capcal_d75c605642.png;"Properties | Max. flow | 60 l/h
Properties | Max. discharge pressure | 16 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 32 W. 100-250 Vac (50/60Hz)
Properties | Weight | 4.5 Kg
Properties | Max. temperature | 45 °C";ITC_DOSmartAC_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_DOSmartAC_INT_EN_Datasheet.pdf, ITC_DOSmartAC_EN-ES_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_DOSmartAC_EN-ES_Brochure.pdf, ITC_DOSmartAC_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_DOSmartAC_INT_EN_Manual.pdf, ITC_DOSmartAC_MODBUS_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_DOSmartAC_MODBUS_INT_EN_Manual.pdf;dosmart-ac;https://www.verderliquids.com/int/en/itc/dosmart/dosmart-ac
ITC | DOSmart;DOSmart AC 24Vdc;Dosmart AC 24Vdc is characterized by high precision, extensive regulation (1:3000) and high suction capacity even with viscous products. It allows the dosing of any commonly used chemical in the water treatment, chemical, food and agriculture industries.;https://www.verderliquids.com/fileadmin/_processed_/0/2/csm_DOSmart_AC_Capcal_d75c605642.png;https://www.verderliquids.com/fileadmin/_processed_/0/2/csm_DOSmart_AC_Capcal_d75c605642.png;"Properties | Max. flow | 60 l/h
Properties | Max. discharge pressure | 16 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 32 W. 24 Vdc
Properties | Weight | 4.5 Kg
Properties | Max. temperature | 45 °C";ITC_DOSmartAC_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_DOSmartAC_INT_EN_Datasheet.pdf, ITC_DOSmartAC_EN-ES_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_DOSmartAC_EN-ES_Brochure.pdf, ITC_DOSmartAC_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_DOSmartAC_INT_EN_Manual.pdf, ITC_DOSmartAC_MODBUS_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_DOSmartAC_MODBUS_INT_EN_Manual.pdf;dosmart-ac-24vdc;https://www.verderliquids.com/int/en/itc/dosmart/dosmart-ac-24vdc
ITC | DOSmart;DOSmart BC;Dosmart BC represents the latest in metering pump innovation, designed with a special focus on improving efficiency in the agricultural sector. Equipped with stepper motor technology, this state-of-the-art pump has been meticulously designed to meet the high standards of pH control and disinfection required by farmers in the care of their crops.;https://www.verderliquids.com/fileadmin/_processed_/7/7/csm_DOSmartBC_26077eb9c2.png;https://www.verderliquids.com/fileadmin/_processed_/7/7/csm_DOSmartBC_26077eb9c2.png;"Properties | Max. flow | 60 l/h
Properties | Max. discharge pressure | 16 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 32 W. 100-250 Vac (50/60Hz)
Properties | Weight | 4.5 Kg
Properties | Max. temperature | 45 °C";ITC_DOSmartBC_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_DOSmartBC_INT_EN_Datasheet.pdf;dosmart-bc;https://www.verderliquids.com/int/en/itc/dosmart/dosmart-bc
ITC | Dostec AC;Dostec AC1 diaphragm;Dostec AC diaphragm is dosing pump with advanced control for an accurate and efficient automatic dosing. Depending on the chosen head allows most chemicals products used in water treatment, chemical industry, food and beverage and agriculture.;https://www.verderliquids.com/fileadmin/_processed_/7/a/csm_DOSTECAC-DIAPHRAGM.JPG_TRANS_eaeb80e801.png;https://www.verderliquids.com/fileadmin/_processed_/7/a/csm_DOSTECAC-DIAPHRAGM.JPG_TRANS_eaeb80e801.png;"Properties | Max. flow | 360 l/h
Properties | Max. discharge pressure | 16 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 0.43kW(0.58 Hp). 110V kW
Properties | Weight | 13 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_AC_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_AC_INT_EN_Datasheet.pdf, ITC_Dostec_AC_EN_ES_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_AC_EN_ES_Brochure.pdf, ITC_Dostec_AC_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_INT_EN_Manual.pdf, ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf;dostec-ac1-diaphragm;https://www.verderliquids.com/int/en/itc/dostec-ac/dostec-ac1-diaphragm
ITC | Dostec AC;Dostec AC1 piston;Dostec AC piston is a dosing pump with advanced control for an accurate and efficient automatic dosing. Depending on the chosen head allows most chemicals products used in water treatment, chemical industry, food and beverage and agriculture.;https://www.verderliquids.com/fileadmin/_processed_/8/6/csm_DOSTECAC-PISTON_TRANS_e556ba07f2.png;https://www.verderliquids.com/fileadmin/_processed_/8/6/csm_DOSTECAC-PISTON_TRANS_e556ba07f2.png;"Properties | Max. flow | 342 l/h
Properties | Max. discharge pressure | 20 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 0.43kW(0.58 Hp). 110V kW
Properties | Weight | 13 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_AC_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_AC_INT_EN_Datasheet.pdf, ITC_Dostec_AC_EN_ES_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_AC_EN_ES_Brochure.pdf, ITC_Dostec_AC_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_INT_EN_Manual.pdf, ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf;dostec-ac1-piston;https://www.verderliquids.com/int/en/itc/dostec-ac/dostec-ac1-piston
ITC | Dostec AC;Dostec AC2 diaphragm;Dostec AC diaphragm is dosing pump with advanced control for an accurate and efficient automatic dosing. Depending on the chosen head allows most chemicals products used in water treatment, chemical industry, food and beverage and agriculture.;https://www.verderliquids.com/fileadmin/_processed_/7/a/csm_DOSTECAC-DIAPHRAGM.JPG_TRANS_eaeb80e801.png;https://www.verderliquids.com/fileadmin/_processed_/7/a/csm_DOSTECAC-DIAPHRAGM.JPG_TRANS_eaeb80e801.png;"Properties | Max. flow | 360 l/h
Properties | Max. discharge pressure | 16 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 0.43kW(0.58 Hp). 230V kW
Properties | Weight | 13 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_AC_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_AC_INT_EN_Datasheet.pdf, ITC_Dostec_AC_EN_ES_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_AC_EN_ES_Brochure.pdf, ITC_Dostec_AC_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_INT_EN_Manual.pdf, ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf;dostec-ac2-diaphragm;https://www.verderliquids.com/int/en/itc/dostec-ac/dostec-ac2-diaphragm
ITC | Dostec AC;Dostec AC2 piston;Dostec AC piston is a dosing pump with advanced control for an accurate and efficient automatic dosing. Depending on the chosen head allows most chemicals products used in water treatment, chemical industry, food and beverage and agriculture.;https://www.verderliquids.com/fileadmin/_processed_/8/6/csm_DOSTECAC-PISTON_TRANS_e556ba07f2.png;https://www.verderliquids.com/fileadmin/_processed_/8/6/csm_DOSTECAC-PISTON_TRANS_e556ba07f2.png;"Properties | Max. flow | 342 l/h
Properties | Max. discharge pressure | 20 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 0.43kW(0.58 Hp). 230V
Properties | Weight | 13 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_AC_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_AC_INT_EN_Datasheet.pdf, ITC_Dostec_AC_EN_ES_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_AC_EN_ES_Brochure.pdf, ITC_Dostec_AC_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_INT_EN_Manual.pdf, ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf;dostec-ac2-piston;https://www.verderliquids.com/int/en/itc/dostec-ac/dostec-ac2-piston
ITC | Dostec AC;Dostec AC3 diaphragm;Dostec AC diaphragm is dosing pump with advanced control for an accurate and efficient automatic dosing. Depending on the chosen head allows most chemicals products used in water treatment, chemical industry, food and beverage and agriculture.;https://www.verderliquids.com/fileadmin/_processed_/1/0/csm_DOSTECAC-DIAPHRAGM_TRANS_01_85805f530a.png;https://www.verderliquids.com/fileadmin/_processed_/1/0/csm_DOSTECAC-DIAPHRAGM_TRANS_01_85805f530a.png;"Properties | Max. flow | 1254 l/h
Properties | Max. discharge pressure | 10 bar
Properties | Pumphead materials | PP / PVDF / AISI316
Properties | Max. drive power | 0.43kW(1.2 Hp). 230V
Properties | Weight | 24 Kg
Properties | Max. temperature | 45 °C";ITC_Dostec_AC_INT_EN_Datasheet.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Datasheets/ITC_Dostec_AC_INT_EN_Datasheet.pdf, ITC_Dostec_AC_EN_ES_Brochure.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Brochures/ITC_Dostec_AC_EN_ES_Brochure.pdf, ITC_Dostec_AC_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_INT_EN_Manual.pdf, ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf | https://www.verderliquids.com/fileadmin/user_upload/Website_documents_2016/ITC/Documents_EN/Manuals/ITC_Dostec_AC_MODBUS_INT_EN_Manual.pdf;dostec-ac3-diaphragm;https://www.verderliquids.com/int/en/itc/dostec-ac/dostec-ac3-diaphragm
