_CATEGORY_;_NAME_;_DESCRIPTION_;_IMAGE_;_IMAGES_;_ATTRIBUTES_;_DOWNLOADS_;_SKU_;_URL_
Accessories PS-AMS;Terminal Box;To avoid that the actuator has to be opened on site, a plug and socket connection provides a big benefit. This way it can be assured that the delivery status — e.g. IP68 — of the autmated valve is not altered by the electric connection on site.Plug with 32 numbered pins, impossible to confuse. Easy exchange of actuators because of identical connector pin assignment of all AMS actuators.;https://www.ps-automation.com/wp-content/uploads/produktbild_steckerverbinder.png;https://www.ps-automation.com/wp-content/uploads/produktbild_steckerverbinder.png;;;terminal-box;https://www.ps-automation.com/products-2/terminal-box/?lang=en
Accessories PS-AMS;Control room heating (HR);For environments with high temperature fluctuations or high humidity, we recommend a heating resistor be fitted to prevent the build up of condensation within the enclosure.The heating resistor is designed to ensure a minimum operating temperature in small enclosures. Self regulating and temperature limiting.;https://www.ps-automation.com/wp-content/uploads/produktbild_hr.png;https://www.ps-automation.com/wp-content/uploads/produktbild_hr.png;;Instructions | Installation Instruction HR | 04.2025 | https://www.ps-automation.com/wp-content/uploads/II_HR_GER_ENG_8031269.pdf;hr;https://www.ps-automation.com/products-2/hr/?lang=en
Accessories PS-AMS;Communication Software (PSCS USB);Enables the communication between the actuator and a PC, giving access to parameters and data log. A freely available software is necessary to run PSCS USB.  The software can be downloaded with the following link:Software PSCS;https://www.ps-automation.com/wp-content/uploads/produktbild-_PSCS_USB.png;https://www.ps-automation.com/wp-content/uploads/produktbild-_PSCS_USB.png;;"Instructions | Short Operating Instruction PSCS-USB | 03.2024 | https://www.ps-automation.com/wp-content/uploads/SOI_AMS1x_PSCS-USB_GER_ENG_8034504.pdf
Instructions | Operating Instruction PSCS-USB | 06.2024 | https://www.ps-automation.com/wp-content/uploads/OI_AMS1x_PSCS_ENG.pdf
Instructions | Operating Instruction PSCS-WIFI | 05.2024 | https://www.ps-automation.com/wp-content/uploads/OI_PSCS_WIFI_ENG.pdf
Instructions | Operating Instruction PSCS.2 | 05.2024 | https://www.ps-automation.com/wp-content/uploads/OI_PSCS_2_ENG.pdf";pscs-usb;https://www.ps-automation.com/products-2/pscs-usb/?lang=en
Accessories PS-AMS;Ethernet and fieldbus interfaces;Integrated Ethernet / fieldbus interface. The optional Ethernet /fieldbus-interface allows operation of the actuator.The interface can be used with “Profibus DP”, “CANopen”, “Profinet”, “Modbus” and “HART Protocol”.Available as PSPDP (Profibus DP), PSCAN (CANopen), PSPN (Profinet) and PSMOD (Modbus) . Other Ethernet / fieldbus interfaces are available on request.The Configuration Files can be downloaded with the following link:Configuration File ProfibusDP V1.3Configuration File Profinet V2.33;https://www.ps-automation.com/wp-content/uploads/produktbild_pspdp_pscan.png;https://www.ps-automation.com/wp-content/uploads/produktbild_pspdp_pscan.png;;"Product Summary | Sales Brochure PSPDP | 03.2025 | https://www.ps-automation.com/wp-content/uploads/SB_AMS_PSPDP_ENG-2.pdf
Product Summary | Sales Brochure Fieldbus | 03.2025 | https://www.ps-automation.com/wp-content/uploads/SB_AMS_FieldBus_ENG.pdf
Instructions | Operating Instruction PSPN | 04.2025 | https://www.ps-automation.com/wp-content/uploads/OI_AMS1x_PSPN_ENG.pdf
Instructions | Operating Instruction PSCAN | 05.2024 | https://www.ps-automation.com/wp-content/uploads/OI_AMS1x_PSCAN_ENG.pdf
Instructions | Operating Instruction PSMOD | 05.2024 | https://www.ps-automation.com/wp-content/uploads/OI_AMS1x_PSMOD_ENG.pdf
Instructions | Operating Instruction PSPDP | 05.2024 | https://www.ps-automation.com/wp-content/uploads/OI_AMS1x_PSPDP_ENG.pdf";ethernet-and-fieldbus-interfaces;https://www.ps-automation.com/products-2/ethernet-and-fieldbus-interfaces/?lang=en
Accessories PS-AMS;Integrated Process Controller (PSIC);Enables the autonomous control of a process so that an external controller is not required. The specification of the process setpoint is made via fieldbus or an analogue signal (mA or V). 24 VDC sensor power supply is integrated (max. 100mA).;https://www.ps-automation.com/wp-content/uploads/produktbild-_PSCS_USB.png;https://www.ps-automation.com/wp-content/uploads/produktbild-_PSCS_USB.png;;"Product Summary | Brochure PSIC | 01.2023 | https://www.ps-automation.com/wp-content/uploads/PS_PSIC_GER_ENG.pdf
Product Summary | Brochure PSIC & PSQ | 01.2023 | https://www.ps-automation.com/wp-content/uploads/SB_AMS_PSIC_PSQ_GER_ENG.pdf
Instructions | Operating Instruction PSIC | 05.2024 | https://www.ps-automation.com/wp-content/uploads/OI_AMS1x_PSIC_ENG.pdf";integrated-process-controller-psic;https://www.ps-automation.com/products-2/integrated-process-controller-psic/?lang=en
Accessories PS-AMS;Power Fail-Safe Device (PSCP);PSCP provides an integrated emergency-power supply based on supercapacitors. This allows the valve to move into a previously defined ‘safety position’. Our energy pack is designed for 500.000 loading cycles, short recharge times and is maintenance free.PSCP cannot be combined with FSP.Compared to batteries, supercapacitors offer many advantages:– maintenance-free operation without the familiar battery “memory effect”– lifetime of more than 10 years if operated below 55°C, capacity monitoring is therefore unnecessary– high number of life cycles and load capability due to a low internal resistance, full force is available at all times– significantly better high and low temperature tolerance– recharging within a few minutes without losing capacity, the actuator is quickly made ready for a new emergency cycle;https://www.ps-automation.com/wp-content/uploads/produktbild_pscp.png;https://www.ps-automation.com/wp-content/uploads/produktbild_pscp.png;;"Product Summary | Sales Brochure PSCP PS-AMS PSQ | 03.2025 | https://www.ps-automation.com/wp-content/uploads/SB_AMS_PSCP_PSQ_ENG.pdf
Product Summary | Sales Brochure PSCP PSL | 05.2024 | https://www.ps-automation.com/wp-content/uploads/SB_AMS_PSCP_ENG_COM.pdf";power-fail-safe-device-pscp;https://www.ps-automation.com/products-2/power-fail-safe-device-pscp/?lang=en
Accessories PS-AMS;On-site Control (PSC.2, PSC.3);Enables the user to operate the valve by push-buttons and gives access to the parametrization of smart linear and quarter turn actuators, without using a PC. Additionally, the valve position is shown in an illuminated display. By using a padlock, unauthorized use is prevented.For intelligent linear actuators PS-AMS PSL up to 14 kN, the interface is installed instead of the cover of the terminal box. For intelligent quarter-turn actuators PS-AMS PSQ and intelligent linear actuators PSL320-325AMS, the interface is mounted on an external terminal box. For intelligent quarter-turn actuators PS-AMS PSQ-S the new generation of local control PSC.3 is mounted on an external terminal box.– Valve operation via push buttons– Indication of valve position– Easy adaption to the valve and control signals– Read out of diagnostic values– Parametrisation;https://www.ps-automation.com/wp-content/uploads/produktbild_psc2.png;https://www.ps-automation.com/wp-content/uploads/produktbild_psc2.png;;"Product Summary | Prospect PSC.2 | 01.2023 | https://www.ps-automation.com/wp-content/uploads/PS_PSC2_GER_ENG.pdf
Instructions | Installation Instruction PSC.2 for PSL Mod. 4 | 04.2025 | https://www.ps-automation.com/wp-content/uploads/II_AMS1x_PSC_2_PSL_Mod4_GER_ENG_8034370.pdf
Instructions | Operating Instruction PSC.2 | 04.2025 | https://www.ps-automation.com/wp-content/uploads/OI_AMS1x_PSC_2_ENG.pdf
Instructions | Operating Instruction PSC.3 | 05.2024 | https://www.ps-automation.com/wp-content/uploads/OI_AMS1x_PSC_3_PSQ-S_ENG.pdf";psc-2-psc-3;https://www.ps-automation.com/products-2/psc-2-psc-3/?lang=en
Accessories PS-AMS;Fail Safe Port (FSP);The fail-safe port 12+13 (terminals 25+26 on plug modules) allows to drive the actuator to a pre-defined position. This “fail-safe position” has to be parameterised via PC interface PSCS. A signal on the fail-safe port has the highest priority among all input signals.– Signal voltage 24 V AC/DC – This function is not available in case a PSCP is installed.;https://www.ps-automation.com/wp-content/uploads/produktbild_fsp.png;https://www.ps-automation.com/wp-content/uploads/produktbild_fsp.png;;;fsp;https://www.ps-automation.com/products-2/fsp/?lang=en
Accessories PS-AMS;Fault Indication Relay (FIR);FIR provides a signal in case of a malfunction. Load at 24 VDC: 100mA. Relevant malfunctions can be selected and are defined by the software.;https://www.ps-automation.com/wp-content/uploads/produktbild_fir.png;https://www.ps-automation.com/wp-content/uploads/produktbild_fir.png;;;fir;https://www.ps-automation.com/products-2/fir/?lang=en
Accessories PS-AMS;Two additional position switches (2WE-AMS);The two additional position switches allow the detection of two fully adjustable actuator positions.The signal is available in open & close direction of travel. Standard switches with silver contacts are suitable for currents 100 mA to 5 A at voltages in the range of 24 V to 230 V AC/DC. For lower power up to 0,12 VA (0,1 mA to 100 mA at 1 V to 24 V AC/DC) we recommend switches with gold contacts (2WE Gold).Variants:– 2WE/ 2WE Gold – 2WO/ 2WO Gold (for AMS only) – 2WC/ 2WC Gold (for AMS only);https://www.ps-automation.com/wp-content/uploads/produktbild_2WE-AMS.png;https://www.ps-automation.com/wp-content/uploads/produktbild_2WE-AMS.png;;"Instructions | Installation Instruction 2WE PS-AMS PSL | 05.2024 | https://www.ps-automation.com/wp-content/uploads/II_AMS1x_2WE_PSL_Mod4_GER_ENG_8014683.pdf
Instructions | Installation Instruction 2WE PS-AMS PSQ | 01.2023 | https://www.ps-automation.com/wp-content/uploads/II_AMS1x_2WE_PSQ_GER_ENG_8034734.pdf";2we-ams;https://www.ps-automation.com/products-2/2we-ams/?lang=en
